x1,x2
96.90945274383131,158.94122474587718
115.02427609514126,166.56551966796698
134.8502802215101,168.70391644723514
143.3810788535268,174.30080652238678
155.69879562112948,177.79740195169342
173.41827760505782,168.8002819915369
175.57392211332896,182.21183655230095
188.8825900688499,196.88727010527606
197.5470888595467,192.15471124694514
205.37803008180458,194.83214076260867
215.69558601677198,187.09174428118163
221.56323776069,181.7313902497261
231.8000728260977,185.19611047520615
234.97525287998155,171.60014404078484
238.09026495920244,160.36025553571668
237.8395648187524,149.22805819102626
224.83475146392357,137.71585459816117
209.7328601736557,136.48644044906683
193.2069010934257,133.47959255383708
179.6163835619535,132.38673825521525
164.47954782491527,134.88846975035185
156.7274192308497,136.98297988071744
154.3280606052321,133.80463238451537
141.12385362123968,133.8435624034767
118.13411600963741,131.53459254736705
102.70326104573118,139.92101987482056
83.4063945946348,145.3682808156053
86.91130774327912,156.8919401593635
84.50766698756686,165.1882982740774
90.9599773113578,162.93269889830214
