x1,x2
229.04710433978144,94.9913036525209
236.75674382179997,112.03171643607001
230.5120174864909,129.68129842085247
224.83475146392357,137.71585459816117
206.72534454907628,133.38264986753137
192.56074628927786,133.21031523355254
177.66525208494645,133.20246652385862
164.47954782491527,134.88846975035185
154.3280606052321,133.80463238451537
141.40654296603637,132.86369197970814
128.4546936007246,133.06761599468467
123.9477987196725,131.53860638408463
112.62896313228194,130.8755533682169
102.04179074229953,136.557615039286
89.68640128837619,125.46383756205047
95.90262085197129,107.4357487522588
113.01733311539628,105.77977907640569
123.12460240764891,98.18165813761891
124.66091430166858,101.87842453376545
129.44461846288365,101.8464326188537
142.46492975770383,92.11620617678008
156.14207122776483,93.84778925403941
173.86598480234196,86.4427529060947
191.78489830487507,79.96394858351113
202.40009630767813,75.40692836428141
210.88637807992956,72.40176891615586
224.10854465859987,67.02656816171786
231.6638223006002,70.97868606740752
233.52617013373091,78.45019263885527
232.88453758689295,82.5929826854544
